Url,Country,Country Code,Region,City,Lat,Lng,ZIP Code,Time Zone,Manufacturer
http://185.10.80.33:8082/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"
Spain
","
ES
","
Catalonia
","
 Sant Feliu De Guixol.
",41.78333,3.03333,17220,+01:00,"
Mobotix
"
http://83.211.71.120:8084/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"
Italy
","
IT
","
Lazio
","
 Rome.
",41.89474,12.4839,156,+01:00,"
Mobotix
"
http://115.91.53.186:80/SnapshotJPEG?Resolution=640x480&Quality=Clarity&COUNTER,"
Korea, Republic Of
","
KR
","
Pusan-Jikhalsi
","
 Busan.
",35.10278,129.04028,600-015,+09:00,"
Panasonic
"
http://82.215.168.242:8083/mjpg/video.mjpg,"
Italy
","
IT
","
Liguria
","
 Diano Marina.
",43.91032,8.07925,18013,+01:00,"
Axis
"
http://203.135.231.151:8081/SnapshotJPEG?Resolution=640x480&Quality=Clarity&COUNTER,"
Japan
","
JP
","
Fukuoka
","
 Fukuoka.
",33.583,130.4,810-0001,+09:00,"
Panasonic
"
http://185.39.101.26:80/mjpg/video.mjpg,"
Italy
","
IT
","
Veneto
","
 Padova.
",45.41519,11.88181,35143,+01:00,"
Axis
"
http://104.157.73.60:80/cgi-bin/faststream.jpg?stream=half&fps=15&rand=COUNTER,"
Canada
","
CA
","
British Columbia
","
 Burnaby.
",49.232424,-123.02326,V5H 3Z7,-08:00,"
Mobotix
"
http://202.245.13.81:80/cgi-bin/camera?resolution=640&quality=1&Language=0&COUNTER,"
Japan
","
JP
","
Tokyo
","
 Tokyo.
",35.689506,139.6917,214-0021,+09:00,"
PanasonicHD
"
http://187.157.229.132:80/mjpg/video.mjpg,"
Mexico
","
MX
","
Morelos
","
 Tlalnepantla.
",19,-98.98333,62530,-06:00,"
Axis
"
http://120.51.16.164:80/-wvhttp-01-/GetOneShot?image_size=640x480&frame_count=1000000000,"
Japan
","
JP
","
Aichi
","
 Inazawa.
",35.25,136.783,490-1322,+09:00,"
Canon
"
